,Max,AvgMax,Average,AvgMin,Min
2024-06-01,66.88741721854305,56.95951005346666,51.05239044868525,46.30904013523612,40.476190476190474
2024-06-02,66.84016977581089,57.02707401002892,51.152490245285705,46.40635821806996,40.61302681992337
2024-06-03,66.79292233307872,57.094637966591186,51.25259004188616,46.50367630090381,40.749863163656265
2024-06-04,66.74567489034656,57.16220192315345,51.35268983848661,46.60099438373766,40.88669950738916
2024-06-05,66.6984274476144,57.22976587971571,51.452789635087065,46.6983124665715,41.023535851122055
2024-06-06,66.65118000488224,57.297329836277974,51.55288943168752,46.795630549405345,41.16037219485495
2024-06-07,66.60393256215008,57.364893792840235,51.65298922828797,46.8929486322392,41.297208538587846
2024-06-08,66.55668511941792,57.432457749402495,51.753089024888425,46.99026671507304,41.43404488232074
2024-06-09,66.50943767668575,57.500021705964755,51.85318882148888,47.087584797906885,41.570881226053636
2024-06-10,66.46219023395359,57.56758566252702,51.95328861808933,47.18490288074073,41.70771756978653
2024-06-11,66.41494279122143,57.63514961908928,52.053388414689785,47.28222096357458,41.84455391351943
2024-06-12,66.36769534848926,57.70271357565154,52.15348821129024,47.379539046408425,41.98139025725232
2024-06-13,66.3204479057571,57.77027753221381,52.25358800789069,47.47685712924227,42.11822660098522
2024-06-14,66.27320046302495,57.83784148877607,52.353687804491145,47.57417521207612,42.25506294471811
2024-06-15,66.22595302029278,57.90540544533833,52.453787601091605,47.671493294909965,42.391899288451015
2024-06-16,66.17870557756062,57.9729694019006,52.55388739769206,47.76881137774381,42.52873563218391
2024-06-17,66.13145813482845,58.04053335846286,52.65398719429251,47.86612946057765,42.665571975916805
2024-06-18,66.08421069209629,58.10809731502512,52.754086990892965,47.963447543411505,42.8024083196497
2024-06-19,66.03696324936413,58.17566127158739,52.85418678749342,48.06076562624535,42.939244663382595
2024-06-20,65.98971580663196,58.24322522814965,52.95428658409387,48.15808370907919,43.07608100711549
2024-06-21,65.9424683638998,58.31078918471191,53.054386380694325,48.255401791913044,43.212917350848386
2024-06-22,65.89522092116765,58.378353141274175,53.15448617729478,48.35271987474689,43.34975369458128
2024-06-23,65.84797347843548,58.445917097836436,53.25458597389523,48.45003795758073,43.486590038314176
2024-06-24,65.80072603570332,58.513481054398696,53.354685770495685,48.54735604041458,43.62342638204707
2024-06-25,65.75347859297116,58.581045010960956,53.45478556709614,48.64467412324843,43.76026272577997
2024-06-26,65.70623115023899,58.648608967523224,53.55488536369659,48.74199220608227,43.89709906951286
2024-06-27,65.65898370750683,58.716172924085484,53.654985160297045,48.83931028891612,44.03393541324576
2024-06-28,65.61173626477468,58.783736880647744,53.7550849568975,48.93662837174996,44.17077175697865
2024-06-29,65.5644888220425,58.85130083721001,53.85518475349795,49.03394645458381,44.30760810071155
2024-06-30,65.51724137931035,58.91886479377227,53.955284550098405,49.13126453741766,44.44444444444444
2024-07-01,65.51724137931035,58.91886479377227,53.955284550098405,49.13126453741766,44.44444444444444
2024-07-02,65.41822721598002,58.86968521743865,53.95903259136032,49.175076432477844,44.49449449449449
2024-07-03,65.31921305264972,58.82050564110503,53.96278063262223,49.21888832753803,44.54454454454454
2024-07-04,65.22019888931939,58.77132606477141,53.96652867388414,49.26270022259822,44.5945945945946
2024-07-05,65.12118472598907,58.72214648843779,53.97027671514605,49.30651211765841,44.64464464464464
2024-07-06,65.02217056265874,58.672966912104165,53.974024756407964,49.350324012718595,44.69469469469469
2024-07-07,64.92315639932843,58.623787335770544,53.97777279766988,49.39413590777878,44.74474474474474
2024-07-08,64.82414223599811,58.57460775943692,53.981520838931786,49.43794780283897,44.7947947947948
2024-07-09,64.72512807266779,58.52542818310331,53.9852688801937,49.481759697899165,44.84484484484484
2024-07-10,64.62611390933746,58.47624860676969,53.98901692145561,49.52557159295935,44.89489489489489
2024-07-11,64.52709974600715,58.427069030436066,53.99276496271752,49.56938348801954,44.94494494494494
2024-07-12,64.42808558267683,58.377889454102444,53.99651300397944,49.61319538307973,44.994994994995
2024-07-13,64.3290714193465,58.32870987776882,54.000261045241345,49.657007278139915,45.04504504504504
2024-07-14,64.23005725601618,58.2795303014352,54.00400908650326,49.7008191732001,45.09509509509509
2024-07-15,64.13104309268587,58.23035072510158,54.00775712776517,49.74463106826029,45.14514514514514
2024-07-16,64.03202892935555,58.18117114876796,54.01150516902708,49.78844296332048,45.1951951951952
2024-07-17,63.93301476602523,58.13199157243434,54.015253210288996,49.832254858380665,45.24524524524524
2024-07-18,63.83400060269491,58.082811996100716,54.019001251550904,49.87606675344085,45.29529529529529
2024-07-19,63.73498643936459,58.033632419767095,54.02274929281282,49.91987864850104,45.34534534534534
2024-07-20,63.635972276034266,57.98445284343347,54.026497334074726,49.96369054356123,45.3953953953954
2024-07-21,63.53695811270395,57.93527326709985,54.03024537533664,50.007502438621415,45.44544544544544
2024-07-22,63.437943949373626,57.88609369076623,54.033993416598555,50.0513143336816,45.49549549549549
2024-07-23,63.33892978604331,57.83691411443261,54.03774145786046,50.09512622874179,45.545545545545544
2024-07-24,63.239915622712985,57.787734538098995,54.04148949912238,50.138938123801985,45.5955955955956
2024-07-25,63.14090145938267,57.738554961765374,54.045237540384285,50.18275001886217,45.645645645645644
2024-07-26,63.041887296052344,57.68937538543175,54.0489855816462,50.22656191392236,45.69569569569569
2024-07-27,62.94287313272203,57.64019580909813,54.052733622908114,50.27037380898255,45.745745745745744
2024-07-28,62.843858969391704,57.59101623276451,54.05648166417002,50.314185704042735,45.7957957957958
2024-07-29,62.74484480606139,57.54183665643089,54.06022970543194,50.35799759910292,45.845845845845844
2024-07-30,62.64583064273106,57.49265708009727,54.063977746693844,50.40180949416311,45.89589589589589
2024-07-31,62.546816479400746,57.443477503763646,54.06772578795576,50.4456213892233,45.945945945945944
2024-08-01,62.546816479400746,57.443477503763646,54.06772578795576,50.4456213892233,45.945945945945944
2024-08-02,62.46192259675406,57.38912255757223,54.05332655196216,50.472301330892414,45.955633052407244
2024-08-03,62.37702871410736,57.33476761138081,54.03892731596856,50.49898127256154,45.96532015886854
2024-08-04,62.29213483146067,57.280412665189395,54.02452807997496,50.52566121423065,45.97500726532984
2024-08-05,62.20724094881398,57.22605771899798,54.01012884398136,50.552341155899775,45.98469437179114
2024-08-06,62.122347066167286,57.171702772806555,53.99572960798776,50.57902109756889,45.99438147825244
2024-08-07,62.0374531835206,57.11734782661514,53.98133037199416,50.60570103923801,46.00406858471374
2024-08-08,61.95255930087391,57.06299288042372,53.96693113600056,50.63238098090713,46.01375569117504
2024-08-09,61.86766541822721,57.008637934232304,53.95253190000696,50.659060922576245,46.02344279763634
2024-08-10,61.78277153558052,56.95428298804089,53.93813266401336,50.68574086424537,46.03312990409764
2024-08-11,61.69787765293383,56.89992804184947,53.92373342801976,50.71242080591448,46.04281701055894
2024-08-12,61.61298377028714,56.845573095658054,53.90933419202616,50.739100747583606,46.05250411702024
2024-08-13,61.52808988764045,56.79121814946664,53.894934956032564,50.76578068925272,46.06219122348154
2024-08-14,61.44319600499376,56.73686320327522,53.880535720038964,50.792460630921845,46.07187832994284
2024-08-15,61.35830212234706,56.6825082570838,53.86613648404536,50.81914057259096,46.08156543640414
2024-08-16,61.27340823970037,56.62815331089239,53.85173724805176,50.84582051426008,46.09125254286545
2024-08-17,61.188514357053684,56.57379836470096,53.83733801205816,50.8725004559292,46.10093964932675
2024-08-18,61.10362047440699,56.519443418509546,53.82293877606456,50.899180397598315,46.11062675578805
